ARCH 274,3.0," ARCH 173 [Min Grade: C-] and PHYS 183 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457BB0>>
ARCH 275,3.0," ARCH 274 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456260>>
ARCH 276,3.0," ARCH 275 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456050>>
ARCH 281,4.0," ARCH 183 [Min Grade: C-] and (ARCH 213 [Min Grade: C-] or INTR 245 [Min Grade: C-])
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834744C0>>
ARCH 282,4.0," ((ARCH 221 [Min Grade: C-] and ARCH 251 [Min Grade: C-]) or ARCH 170 [Min Grade: C-] or INTR 351 [Min Grade: C-], ) and ARCH 281 [Min Grade: C-] and (ARCH 224 [Min Grade: C-] or INTR 341 [Min Grade: C-])
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834746D0>>
ARCH 283,4.0," ((ARCH 222 [Min Grade: C-] and ARCH 252 [Min Grade: C-]) or ARCH 170 [Min Grade: C-]) and ARCH 282 [Min Grade: C-] and ARCH 225 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83474B20>>
ARCH 291,1.5," ARCH 283 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83474E50>>
ARCH 292,1.5," ARCH 283 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834751B0>>
ARCH 293,1.5," ARCH 283 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834754E0>>
ARCH 315,3.0,,"[False, False, True, False]", Cannot enroll if classification is Freshman
ARCH 320,3.0," ARCH 315 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83475900>>
ARCH 324,1.5," ARCH 173 [Min Grade: C-] or ARCH 223 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834759F0>>
ARCH 325,1.5," ARCH 324 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83475B40>>
ARCH 326,1.5," ARCH 325 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83475C30>>
ARCH 335,3.0," ARCH 243 [Min Grade: C-] or ARCH 383 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83475D20>>
ARCH 336,3.0," ARCH 335 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83475E70>>
ARCH 340,3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83475F60>>
ARCH 341 [WI],3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834760B0>>
ARCH 342 [WI],3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476200>>
ARCH 343,3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476350>>
ARCH 346 [WI],3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834764A0>>
ARCH 347 [WI],1.0-6.0," ARCH 143 [Min Grade: C-] or INTR 200 [Min Grade: C-] or ARTH 103 [Min Grade: C-]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834765F0>>
ARCH 348 [WI],3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834767A0>>
ARCH 350,3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834768F0>>
ARCH 354,1.5," ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476A40>>
ARCH 355,1.5," ARCH 354 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476B90>>
ARCH 356,1.5," ARCH 355 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476C80>>
ARCH 361,4.0," ARCH 353 [Min Grade: D] and ARCH 263 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476D70>>
ARCH 362,4.0," ARCH 361 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83476F20>>
ARCH 363,4.0," ARCH 362 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477010>>
ARCH 377,3.0," ARCH 276 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477100>>
ARCH 378,3.0," ARCH 377 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834771F0>>
ARCH 379,3.0," ARCH 378 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834772E0>>
ARCH 381,4.0," ARCH 283 [Min Grade: C] and ARCH 226 [Min Grade: C] and ARCH 223 [Min Grade: C] and ARCH 253 [Min Grade: C]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834773D0>>
ARCH 382,4.0," ARCH 381 [Min Grade: C-] and ARCH 274 [Min Grade: C-] or (ARCH 291 [Min Grade: C-] and ARCH 354 [Min Grade: C-])
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477700>>
ARCH 383,4.0," ARCH 382 [Min Grade: C-] and ARCH 275 [Min Grade: C-] or (ARCH 292 [Min Grade: C-] and ARCH 355 [Min Grade: C-])
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477910>>
ARCH 394,1.5," ARCH 291 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477B20>>
ARCH 395,1.5," ARCH 394 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477C10>>
ARCH 396,1.5," ARCH 293 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477D00>>
ARCH 421 [WI],3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477DF0>>
ARCH 431 [WI],3.0," ARCH 353 [Min Grade: C-] or ARCH 483 [Min Grade: C-]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477F40>>
ARCH 432,3.0,,"[False, False, False, True]",
ARCH 441,3.0," ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83477E50>>
ARCH 451,3.0," ARCH 226 [Min Grade: C-] or INTR 341 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83474E20>>
ARCH 455,3.0," ARCH 226 [Min Grade: C-]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83484460>>
ARCH 463,3.0," ARCH 161 [Min Grade: C-] or ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83484550>>
ARCH 464,3.0,"  or ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83484700>>
ARCH 465,3.0," ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834848B0>>
ARCH 466,3.0," (ARCH 326 [Min Grade: C-] or ARCH 379 [Min Grade: C-] or INTR 350 [Min Grade: C-] or INTR 674 [Min Grade: C-])
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83484A00>>
ARCH 481,4.0," ARCH 383 [Min Grade: C-] and ARCH 276 [Min Grade: C-] or (ARCH 356 [Min Grade: C-] and ARCH 293 [Min Grade: C-])
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83484C10>>
ARCH 482,4.0," ARCH 481 [Min Grade: C-] and ARCH 377 [Min Grade: C-] or (ARCH 324 [Min Grade: C-] and ARCH 394 [Min Grade: C-])
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83484E20>>
ARCH 483,4.0," ARCH 482 [Min Grade: C-] and ARCH 378 [Min Grade: C-] or (ARCH 325 [Min Grade: C-] and ARCH 395 [Min Grade: C-])
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485030>>
ARCH 487,4.0," ARCH 483 [Min Grade: C-] and ARCH 379 [Min Grade: C-] or (ARCH 326 [Min Grade: C-] and ARCH 356 [Min Grade: C-] and ARCH 396 [Min Grade: C-])
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485240>>
ARCH 488,4.0," ARCH 487 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834854B0>>
ARCH 489,4.0," ARCH 488 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834855A0>>
ARCH 490,4.0," ARCH 283 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485690>>
ARCH 492,4.0," ARCH 490 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485780>>
ARCH 493,4.0," (ARCH 363 [Min Grade: C-] or ARCH 489 [Min Grade: C-]) and ARCH 431 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485870>>
